,Name,Party,Position,Text
488,Duncan Baker,Conservative,"Conservative, North Norfolk"," I am here not just on behalf of the many constituents who always write to me about animal welfare issues, but because it is a topic that many of us in this Chamber have complete consensus on. I have often said that in this Chamber, there is more that unites us than divides us, and our approach to animal welfare shows exactly that. As we have heard, 69% of UK citizens surveyed by the RSPCA said that they were animal lovers—it is a clear uniting factor. You only have to go for a walk on one of my constituency’s beaches on a Sunday morning to see countless people walking their dogs. I have always had rescue animals; I grew up with them. I have had rescue dogs, rescue cats and rescue chickens—they do not lay very well, but they are quite nice pets—and every Sunday afternoon, I go through the ritual fight with my children of “Who wants to muck out the rescue guinea pigs?” The point is that I have always been a vocal supporter of protecting our animals. We have to pay a real tribute to my right hon. Friend Sir Iain Duncan Smith for the enormous amount of work he did during the pandemic on the pet theft taskforce. It was a great problem in North Norfolk, where people were having their beautiful pedigree dogs taken and stolen. Not many people know this, but I am the glow-worm champion for the UK. [Hon. Members: “Hear, hear.”] Yes, someone has to do it—and it is a real honour. The need for dark skies is a big issue in many parts of the United Kingdom, and Members probably do not know that glow-worms can be found in Kelling heath in my constituency, which is why I have had that honour. I have run the London marathon a couple of times and raised lots of money for local animal charities, as I am sure a lot of Members here have done. All of us in this Chamber consider animals and pets as having a significant part in our lives. The Opposition need to recognise a couple of facts. The point has been made by my right hon. Friend Theresa Villiers and my hon. Friend Craig  Mackinlay that, since we have left the EU, we have been able to strengthen our laws on looking after our animals and our pets. We are ranked the highest in the G7 on the animal protection index, with some of the highest animal welfare standards in the world. Since the action plan for animal welfare was delivered in 2021, the Government have delivered time and again on their animal welfare commitments. We heard the Minister make that point about the Animal Welfare (Sentience) Act. We have strengthened the Ivory Act 2018. Cat microchipping has also been strengthened—much to my delight, because when my beloved Clapton went missing, we were able to find him very quickly because of his microchip. It is not fair for the Opposition to label the Government in the way they have this afternoon. It is very simple to understand that no matter what the Opposition have done to try to spin this, we are keeping the core elements of the Bill. We must set the record straight on that. As many have said, this is not being watered down, and it is not being simplified to push through legislation without proper due diligence. Instead of stretching the current Bill beyond its remit and its snapping, we are, as some Members have said, bringing forward single issues so that they can be properly debated and properly put through our processes. It is right not to overload the original Bill—that is proper decision making. It is proper legislating in this House to build strong, effective Bills that work for the purposes they are designed for. I actually think the Government should be very proud of what they have done, and the Minister should be very proud of leading on this. There is absolutely no doubt in my mind that we are not watering the provisions down. We are bringing them forward, and we will deliver on them, as we already have on some of them, before the next general election. "
489,Samantha Dixon,Labour,"Labour, City of Chester"," If there is one thing I know, it is that my constituents care passionately about animal welfare. My inbox is full of emails about the importance of this topic to them. The scrapping of the Animal Welfare (Kept Animals) Bill and the prevarication on display today are, frankly, astonishing. I am baffled that Conservative Members cannot see how the withdrawal of the Bill makes constituents question whether this Government even care about delivering on their promises. As we have learned this week, trust matters to our constituents, and I know that my constituents care. They care about animal welfare and they care about the Government delivering on their pledges. The dropping of the Animal Welfare (Kept Animals) Bill also creates huge worries for zoos across the country, including Chester zoo in my constituency, which runs world-leading conservation research and work on animal welfare issues. It is very worried that, without this Bill, the uncertainty surrounding the legislative framework within which zoos operate will be perpetuated. This is causing it real difficulties in allocating the charity’s spending. It is, in effect, in limbo. The Government need to engage with the zoo sector quickly to bring forward the central aims of this important Bill. Chester zoo is not the only way my area is leading on animal welfare issues. Cheshire West and Chester Council was one of the first to ban permanently the practice of trail hunting on council-owned land, and the National  Trust soon followed suit. The changes introduced by the previous Labour Government have stood the test of time, from the bans on foxhunting and fur farming to the action taken to stop experimentation on great apes and the testing of cosmetics on animals. "
490,Matt Rodda,Labour,Shadow Minister (Work and Pensions) (Pensions)," My hon. Friend is making an excellent speech, and I hope that today we can have an element of consensus and that the Government will reconsider their position. It seems strange, when the official Opposition are backing a Government Bill, to not want to progress that Bill for the benefit of animals. "
491,Samantha Dixon,Labour,"Labour, City of Chester"," I completely agree with my hon. Friend. We must ensure that we do not stop here; we should lead the way on animal welfare. The belief in protecting animal welfare should not come and go depending on what is politically convenient or fashionable at the time—it should be a matter of principle and conviction. There is no need to go round the houses with this issue, introducing what appears to be a parliamentary pick-and-mix approach. We need urgently to go from A to B as simply and as quickly as possible. I will be voting to bring this Bill back, and I encourage Members across the House to do the same. "
492,Andrea Jenkyns,Conservative,"Conservative, Morley and Outwood"," I begin today by paying tribute to the thousands of committed animal welfare campaigners and organisations that have dedicated their lives to making the world a better place for our animal friends. One name that might not be known to people in this House is the late Brian Wheelhouse from my constituency. Brian founded the Whitehall Dog Rescue centre. He was a real earth angel whose life was to be of service to animals, and I was lucky enough to get my rescue dog Suzy from Brian. At Brian’s funeral this week, I asked his family for permission to make these remarks in Brian’s memory. I am hugely disappointed to be here having this debate today, especially given that the Conservative party has made huge in-roads on improving animal welfare since 2010. In 2019, under the leadership of Boris Johnson—incidentally, he and his wife passionately care about our animal friends—he ensured that all Conservatives stood on a manifesto to bring forward the measures in this Bill. I was immensely disappointed and flabbergasted to hear that the Bill would be dropped, and I immediately set up a petition with a constituent to demonstrate that the British public also want to see the kept animals Bill become law. In just over two weeks, we have collected more than 11,000 signatures, and I thank all the organisations involved with helping to promote the video, too. I wrote to the Prime Minister this week to highlight the petition and all the organisations that want the Bill brought back. The Bill would have led the world in furthering protections for animals by banning the cruel trade of live exports, protecting zoo animals, tackling puppy smuggling and ending the cruel practice of ear cropping. One of the specific provisions in the Bill tackles the pet owner’s worst nightmare: pet theft. That happened to me as a child when our family dog Shadow was stolen from our garden. Even today, nearly 40 years later, I wonder what happened to that wonderful, gentle dog. I pray that she found a good home. Like any theft, the emotional consequences leave a lasting mark. The kept animals Bill also took a stand against puppy smugglers. For the first time, it would have effectively limited the practices of exploitative dog breeders and puppy farms. It is easy to be duped by puppy farms—12 years ago, I bought my wonderful mini schnauzer Godiva from what turned out to be a puppy farm, which thankfully got closed down later. The Bill would have brought in so many different parts of legislation, including Tuk’s law on microchipping, banning primates as pets and banning the import of dogs with docked ears. We have not got much time left, so I am trying to cut my speech down. The public want us to deliver the legislation. One Member on the Opposition Benches said that about 80% of people across the UK want us to bring in laws to protect animals. I have one question for the Government: do animals matter? I say to the Opposition that I came to the Chamber today to vote with them. I remember, as mentioned by my hon. Friend Craig Mackinlay, the Brexit times when the Opposition tried to take control of the Order Paper, and we would not have had Brexit had that happened—that was their plan. I think that the Opposition have been too clever by half, and actually they are using animals as political pawns; that is wrong. So, unfortunately, I cannot be in the Lobby with them. Had they kept it simple and tabled a normal Opposition day motion, I would be in the Lobby with them, but I cannot let an unelected Opposition take control of the Order Paper. What else would they do next? "
493,Ashley Dalton,Labour,"Labour, West Lancashire"," As I rise to talk about this issue, I regret that it has come to the House as an Opposition day debate rather than as part of the Government’s legislative programme. That, of course, is after the Prime Minister pledged his commitment to the kept animals Bill during his ill-fated leadership election last summer. It is not just me who will be meeting this news with disappointment. I am sure that many colleagues on both sides of the House will have had inboxes full of constituents asking where the kept animals Bill is and why the Government have abandoned it and their manifesto pledge to protect animals. We all know that Britain is a country of animal lovers; it is part of our national identity. When covid struck in 2020 and lockdowns were put in place, many people across the UK felt isolated and in need of companionship. It is no surprise that public demand for pets, and dogs in particular, soared. However, of course, the supply of dogs cannot be increased overnight. There is an obvious timescale for breeding and bringing new puppies to the market, so an opportunity opened up for malicious practices to take place and puppy smugglers to take advantage. Bad as the exploitive practices of puppy smuggling are, they rarely take place in isolation. I was recently contacted by a constituent who wanted to highlight the problems they are having with their neighbours, who they believe are running puppy smuggling from their home. Vans and cars turn up at the property at all hours, there is noise, there are unpleasant smells, and there has been conflict with other residents in the street, including  a violent assault. It will not surprise anyone to hear that my constituent also reports that a cannabis operation is being run from the same property. Many up and down the country will find that story familiar. As Sir Iain Duncan Smith, who is no longer in his place, alluded to, there is increasing evidence that organised crime gangs are taking an interest in puppy smuggling. Also concerning is how the distribution networks bringing smuggled puppies to the market increasingly mirror how drugs and other illegal and prohibited substances are entering our communities. I am afraid to say that the problems from the puppy smuggling industry do not stop here. Due to the brutal and cruel nature in which puppies are bred and brought to the UK by smugglers, they are at an increased risk of developing severe behavioural issues and bringing parasitic diseases into the UK, putting all of us at risk. Since the kept animals Bill was last debated in this place, we have had a few personnel changes on the Government Benches, but constantly changing the ringleader of the Conservative party circus is no excuse for breaking the promise that the Government made with the British people. Last month, the Minister for Food, Farming and Fisheries, Mark Spencer, accused Opposition Members of playing political games with the Bill and said that that was why the Government had to withdraw it. But what we have is a Government, elected with an 80-seat majority, who have no confidence to take decisions, running scared of the Opposition. It is not as though there is not enough parliamentary time for the House to debate the issue. It is clear to anyone looking in that the Government’s legislative agenda is threadbare. How many private Members’ Bills will it take to recreate the legislation that these Houses have already progressed beyond Second Reading—20, 30, or more? I am still relatively new to this place, but even I can see that this is a ludicrous way to do business. The Government might be more interested in fighting among themselves and waiting for the next election, but on the Opposition Benches we want to get on with supporting and delivering for the British people and protecting animals. There is only one party playing political games. When the Conservative party comes to the table, it is always the British people who lose. For these reasons I am disappointed that the Government have withdrawn the Animal Welfare (Kept Animals) Bill from their already sparse legislative agenda. I call on right hon. and hon. Members across the House to support Labour’s motion and bring the Bill to its proper conclusion. "
494,Selaine Saxby,Conservative,"Conservative, North Devon"," Like others, I am disappointed that we are not progressing with the legislation. As the Parliamentary Private Secretary on the original Bill Committee, I am familiar with it, but to such an extent that I was in agreement with the current Secretary of State’s decision that the only way to deliver the legislation, which is in the manifesto that we stood upon, is to expedite the individual components. I hope we can do that. I would like to take this opportunity to thank the ministerial team for their ongoing engagement and explanation of what has been going on. It is an interesting day to have chosen for this debate. Earlier today, I attended the first parliamentary Great Get Together, which was hosted by Kim Leadbeater in honour of her late sister, who quite rightly said: “we are far more united and have far more in common than that which divides us.”—[Official Report, 3 June 2015; Vol. 596, c. 675.] Having been PPS on the Bill Committee, I know that there is consensus to get these measures through, which is why I am somewhat staggered to find that the Opposition party would stoop so low as to play politics with puppies, because that is what we are looking at. When Government Members go home tonight there will be a social media campaign that says that we have done X, Y and Z to puppies. The reality is that we are delivering the legislation that will enable us to do what we said we would do. Labour has been in opposition a long time, which is great for this country, but it means that they have no idea how to deliver complex legislation. If the ministerial team decide that it has to be broken down to enable it to get through, I have confidence in this Minister to do that. Like most of us, I would dearly like to stop 10,000 puppies being illegally imported each year and I want the legislation to be speeded up so we can stop it as soon as possible. I want to take the opportunity to thank the animal welfare organisations I have campaigned with since I got to this House—Dogs Trust, Cats Protection, the RSPCA and Battersea Dogs and Cats Home. Like all of us, they want to find a way to deliver this legislation smoothly, so that we can unite behind our much loved animals. "
495,Alex Sobel,Labour,"Shadow Minister (Environment, Food and Rural Affairs)", I have been and I am going again. 
496,Cat Smith,Labour,"Labour, Lancaster and Fleetwood"," I should begin by saying that I wish we had not had to have an Opposition day debate on this topic. There are plenty of issues relating to broken Britain that we could have discussed instead. However, I do think it was a constructive move by my party’s Front Bench to try to make progress on an issue on which there is considerable consensus across the House and, indeed, strong feeling among our constituents. One does not have to be an MP for very long to realise that in every constituency in the country a huge number of people volunteer at animal rescue centres and take time to lobby their MPs about important animal welfare issues. As many others have said, we are undeniably a nation of animal lovers, and it is only right that our laws reflect that. The way in which we treat animals reflects who we are as a nation, and given that assessment, I fear that at present it is not looking very good. The Minister—to whom I have listened many times as she has discussed many different animal issues—says that her Government are seeking to do the right thing by animal welfare, but unfortunately, unless the Bill’s passage is completed, the fact remains that actions would speak far louder than the empty words in her letters to me, which I share with my constituents. A constituent from Galgate wrote to me recently about the delay in the Bill’s progress, saying: “This move goes against all notions of humane reaction with our fellow-creatures and is a backwards step into the dark ages”. I ask Conservative Members to reflect on how this looks to so many of our constituents who rightly care about the way we treat animals. Perhaps optimistically, I decided to look through the case files that I have prepared on animal welfare issues over just the last couple of years. I had hoped to find an animal for every letter of the alphabet, and to be able to explain to the House how many animals people feel passionate about, but I am afraid I got no further than “B”, because so many different issues were involved. Whether it is badgers and the badger cull, bears and the use of bearskins on the caps of the King’s Guard, or bees and the pesticides we should be banning to protect nature—and that is just the letter B. I could have gone on and done the entire alphabet, but I am conscious of time and I know that that would not have been possible today. I want to say a few things about animal welfare issues and particularly about hunting, because many of my constituents are concerned by the Government’s failure to close the loopholes in the Hunting Act 2004. There is clear evidence of fox hunting continuing across the UK, often with devastating consequences. That is not new information; it is has been on the Government’s radar and has been confirmed by senior police officers for years, but the Government still refuse to act. There is huge public support for taking action, and I am confident that that would have support in the House too. Polling shows that 78% of British people want the Hunting Act strengthened. I want to mention a constituent who has picked up another animal welfare issue—the cost of living. The cost of living crisis affects our pets as well as those in our household, and my constituent is trying to set up a pet food bank in response to the current need. That is a wonderful idea but, as with food banks for humans, it should not be necessary. Recent polling showed that three quarters of the public would like the Government to progress more laws on animal welfare. In many ways, the Minister is delivering far more pieces of legislation in order to get the Bill through, but that will take longer. How many individual private Members’ Bills does she expect it will take to get the Bill into legislation? How optimistic is she about doing that in the timeframe before the next scheduled general election? I want to say a few words about how widely felt this issue is in my constituency. Last Friday, I visited the primary school in Winmarleigh—a very small village just north of Garstang and south of Lancaster that many Members have probably never heard of—and the children repeatedly asked me about animal welfare and cruelty to animals, but it is the same when I am out knocking on doors on the Ridge estate in Lancaster. Whether it is the rural parts of my constituency or the urban parts, and whether it is my youngest constituents or my oldest, all my constituents feel incredibly strongly about this issue. Ignoring it ignores our moral obligations and human responsibilities to animals, so I hope the Government will reconsider the Bill and bring it forward as speedily as possible. "
497,Peter Gibson,Conservative,"Conservative, Darlington"," I am incredibly proud of our record on animal welfare. We are a nation of animal lovers, and that is not merely the preserve of the Conservative side of the House. Since I was elected, I have had over 1,100 letters from constituents on a range of animal welfare issues. The UK is the highest ranked G7 nation on the animal protection index and the joint leader globally. Animal welfare has been a priority for this Government since 2010, so let us look at the record. We recognised animal sentience in law. We increased maximum sentences for animal cruelty. We launched the consultation on fixed penalty notice powers. We introduced new protections for service animals with Finn’s law. We launched the animal health and welfare pathway, with new annual vet visits and grants. We implemented the revised welfare at slaughter regime, including CCTV in slaughterhouses. We raised standards for chickens. We revamped local authority licensing regimes. We banned third-party puppy and kitten sales with Lucy’s law. We made microchipping compulsory for cats and dogs. We introduced offences for horse fly-grazing and abandonment. We introduced new community order powers to address dog issues. We banned wild animals in travelling circuses. We passed the Ivory Act 2018. We gave police additional powers to tackle hare coursing. We banned glue traps. I have supported the private Member’s Bills currently before Parliament that ban the import of hunting trophies and the trade in detached shark fins. I am also delighted to have supported the ten-minute rule Bill of my hon. Friend Anna Firth. Known as Emily’s law, the Animal Welfare (Responsibility for Dog Attacks) Bill would criminalise fatal dog-on-dog attacks in the UK, ensuring  irresponsible dog owners are held to account. Darlington recently saw a horrific dog-on-dog attack when Sasha, a mixed-breed terrier, was attacked by a German shepherd. The Bill is important in addressing that issue. It is simply laughable for the Opposition to claim that Conservative Members do not care about animal welfare. Our record speaks for itself. If Labour cared so much about this issue, why were a Conservative Government needed to bring forward legislation after Labour had been in power for 13 years? Labour’s motion, which attempts to take control of the Order Paper, is yet another cynical attempt to generate clips and videos to pump out on social media as propaganda targeted at constituencies it lost in 2019. The voters of places such as Darlington will ask, “Why now?” The Labour party moves with the wind, but on this side of the House we stand by our commitments. I have every faith that our fantastic DEFRA Ministers will deliver on our promises. "
498,Theresa Villiers,Conservative,"Conservative, Chipping Barnet"," I was pleased when I heard the Opposition had put this subject on the agenda and this morning I was even thinking that I would perhaps be joining them in the Lobby. That was until I read their motion, which is obviously a deeply cynical ploy. I do not think anyone on the Government side of the House should be party to it. Playing politics with the welfare of animals is completely unacceptable. No one in this House cares more about the issue of live exports than I do and I am determined that the Government will deliver on that manifesto commitment. We have had the clearest of assurances from the Government on that. Today, I reiterate my call: we need those single-issue Bills to come forward to this House as soon as possible. I know that is a message the Minister here will have heard. I hope we hear that across government and we can get that legislation to this House, so we can vote for it, get it through and get a ban on the statute book. I will continue to raise that issue with Ministers at every opportunity because the live export of animals for slaughter is cruel. It causes distress, suffering and injuries and it is time it was brought to an end. In this country, the live export of animals for slaughter has been a concern for about 100 years. Many of us will remember the protests of the 1990s, but successive UK Governments were powerless to do anything about it because of single market rules. Now we are free of those rules, the time has come to end this cruel trade. If animals are reared in this country, we need to take responsibility for the circumstances in which they are slaughtered. That must mean ensuring that they are slaughtered at the closest point to where they are reared which is practical and viable. I also want to see a single-issue Bill brought forward to crack down on illegal imports of puppies, about which so many of my colleagues have spoken today. That is another cruel trade and we need to crack down on it—again, this is a benefit of our departure from the single market and the EU. I pay tribute to the work of the Dogs Trust in highlighting that issue. I want the rules to be changed. I want visual checks to be a routine part of the process of checking on imports of dogs. I want that legislation to come forward as quickly as possible. So I appeal to the Government to bring forward the legislation. When it is here, we should table no amendments. We should get on, back these Bills and put them on the statute book. "
499,Steven Bonnar,Labour,Shadow SNP Spokesperson (DEFRA Team Member)," I rise to speak in favour of the Opposition motion and will happily vote for it when the House divides later. As has been well-established, the Scottish Government have been leading the UK in these areas of animal welfare rights and livestock movement regulations for a considerable time. We have heard today that the Bill largely related to England and Wales only, but  part 3 did extend to Scotland, as did clauses 42 to 53 and schedule 5. The Scottish Government granted their consent motions to the proposals in the Bill that related to areas of legislative competence of the Scottish Parliament. It has been two years since the Animal Welfare (Kept Animals) Bill was introduced. The SNP supported its introduction, as well as any carry-over motion, but here we are, three Ministers deep and no further forward on many of its aims. We are no further forward on banning foie gras and animal fur imports, or on tackling illegal puppy and kitten smuggling in or indeed around the nations of the UK. The SNP notes, as do my constituents, who write to me in their hundreds on animal rights matters, the abysmal failure of the UK Government to prioritise animal rights and welfare abuse mitigations. The Scottish Government commit to the highest animal welfare standards, so we have real concerns that a Brexit Britain backslide has begun and we are in real danger of not meeting the adequate regulatory protections for both domestic and wild animals that we all know to be required. That backslide would be in stark contrast to the work being undertaken in Holyrood by the SNP, as we deliver the Scottish Government’s Programme for Government. That programme has introduced and passed the Hunting with Dogs (Scotland) Act 2023, and strengthens the law on the use of dogs to hunt and flush foxes and other wild animals. We will also, through an independent taskforce, consider whether the SSPCA should be given extra powers to investigate wildlife crime. The Scottish Government will also review the Dangerous Dogs Act to inform future policy and legislative changes to tackle irresponsible dog ownership. It is somewhat ironic that, when there is agreement across the nations of the UK on matters such as this, when all this collaborative work is taking place by both Governments, and when this Bill enjoys cross-party support in this House, the UK Government have just decided to pull the plug on it. As things stand, and while we wait, the smugglers find new ways to avoid detection and illegally import heavily pregnant dogs and puppies, as well as those that have suffered mutilation such as ear cropping—we have heard so much about that today. So along with organisations such as the SSPCA Lanarkshire animal rescue and rehoming centre, which serves my constituency, the Dogs Trust and Compassion in World Farming, I simply say to the Government: get on with it and get the Bill back in front of the House. "
500,Louie French,Conservative,"Conservative, Old Bexley and Sidcup"," Since being elected to this place, strengthening animal welfare protections has been a priority of mine and an issue close to my heart, not only because I am an animal lover but because my constituents of Old Bexley and Sidcup are also hugely passionate about animal welfare. I made my maiden speech on the Animal Welfare (Sentience) Bill, in which I championed the strengthening of animal welfare in law, and I am proud of what the Government have since achieved on animal welfare, which is more than any other party. I am also proud to work with a range of excellent animal welfare charities and organisations. On pets, we have made microchipping mandatory for dogs and cats, which will help to reunite lost pets with their owners. We have protected service animals via  Finn’s law and banned third-party sales of puppies and kittens via Lucy’s law, as well as introducing tougher sentences for animal cruelty. On wild animals, we banned the use of wild animals in circuses, introduced one of the toughest bans on elephant ivory sales in the world and announced, only last month, that we would extend that law to cover five endangered species, including hippos, whales and walruses. But we can, and must, go further. I welcome the Government’s commitment to bring forward measures in the Animal Welfare (Kept Animals) Bill individually during the remainder of this Parliament. I particularly welcome that the Government remain committed to cracking down on puppy smuggling and banning the import of young, heavily pregnant or mutilated dogs, such as those with cropped ears or docked tails. In 2015, the Dogs Trust, which does excellent work, set up the puppy pilot, which cares for illegally imported puppies seized at the border. The scheme has since cared for 2,256 puppies that, if sold, would have had a market value of over £3 million, highlighting the current financial incentives for smugglers. The trust found that as many as 75 dogs had had their ears cropped. The trade is horrific and puts money in the pockets of the illegal importers. I welcome that the Government are firmly committed to cracking down on that quicker than would have been possible. I urge my hon. Friends on the Front Bench to do so as soon as possible. Given the Government have already explained that these vital animal welfare protections will be delivered quicker as single issue Bills, it is difficult to understand why Labour has tabled the motion. It is nothing more than another cynical political game. For a party that claims to be a Government in waiting, where are Labour’s own policies? Does the Labour party have any, or is it scared that whatever it announces today will be changed within weeks, like nearly all its other pledges? Where are the Labour Members? This is an Opposition day, but the Opposition Benches are empty. Instead of playing political games, I will instead continue to press and support the Government in championing animal welfare and providing a voice for those that do not have one. "
501,Alex Davies-Jones,Labour,"Shadow Minister (Digital, Culture, Media and Sport)"," I am very pleased to speak in such a vital debate, as animal welfare is of immense importance to my constituents in Pontypridd and Taff-Ely. In fact, it is regularly the No. 1 issue in my post bag each month. I am proud to represent a community of such fierce defenders of animal rights, but they are not just in my area of south Wales—research published earlier this year showed that the Welsh care more about animal welfare than any other UK nation. So I stand here today as a proud Welsh MP, who is both proud to represent my constituents, who believe tirelessly in animal justice, and proud to represent Welsh Labour, which has worked so hard to improve the lives of animals in Wales. Of course, there are many charities I would like to mention. I recently had the privilege of visiting Battersea Dogs and Cats Home, Chester Zoo and Hope Rescue, in the constituency of my hon. Friend Chris Elmore, to hear more about the fantastic work they do. With that in mind, I want to take the opportunity to hold this Tory Government to account on their track record. Far too many vital Bills that could have made a real, tangible difference on this issue have been abandoned by this reckless, careless Tory Government: the Animals Abroad Bill—dropped; the Animal Welfare (Kept Animals) Bill—abandoned. It is no surprise that we are here to discuss the Government’s failure to keep its promises. As for the Hunting Trophies (Import Prohibition) Bill, as much as I welcome the private Member’s Bill introduced by Henry Smith, the fact that he has effectively legislated Government policy on behalf of the Government somewhat begs the question, what the hell is the point of them? I need not remind the Members on the Government Benches that they were elected on a manifesto commitment to ban the import of hunting trophies. Relying on their own Back Benchers to ensure the Government keep to their promises is absurd; it shows they cannot be trusted to keep their own promises, which really is a terrible look. The Animal Welfare (Kept Animals) Bill was meant to be a groundbreaking opportunity to enact world-class animal welfare legislation by clamping down on keeping primates as domestic pets, banning the import of dogs with cropped ears, banning the export of traumatised live animals for slaughter or fattening, and finally, once and for all, providing for pet theft to be a specific offence. All are enormously important policies with extremely wide support across the House and among the public. All are key components of the Government’s cornerstone action plan for animal welfare from 2021. All are now abandoned—yet another devastating broken promise from this tired and weak Tory Government. Although animal welfare is devolved, importation and exportation remain a Westminster matter. In Wales, the Senedd stood ready to consent to and vote for the Bill also applying to Wales. When it was announced just last month that the Bill was to be scrapped and that the Government intended to proceed with elements of the original Bill just split up in component parts, we had no clear timelines and there was no clear interest in allocating parliamentary time for this before the summer recess. The vital policies look set to be kicked into the long grass. While Tory Ministers are beholden to the hunting lobby and they dither and delay, thousands of animals are suffering in misery, or will die in horrific conditions. We have been waiting for this Bill for years. This is just not good enough. It is clear that the Tories have lost interest in legislating for animal welfare. In fact, they have lost interest in legislating for anything at all. I am pleased to say that, in contrast, Labour could not be stronger. We on this side of the House stand ready to legislate. We stand ready for Government. That is what this country needs and that is what our animal welfare laws need. We need a Labour Government. "
502,Anna Firth,Conservative,"Conservative, Southend West"," Animal welfare is incredibly important to everybody in Southend and Leigh-on-Sea. Building on the incredible legacy of Sir David, the animal champion in this place, I have already been vocal on the issue of animal welfare. I have introduced a ten-minute rule Bill, known as Emilie’s law, to try to do something about the growing and horrendous incidents of dog-on-dog attacks. Emilie’s law, the Animal Welfare (Responsibility for Dog Attacks) Bill, seeks to address a key gap in the law. As things  currently stand, a dog owner is not liable for any form of criminal prosecution when their dog fatally attacks another dog. I very much hope that the Government can find a mechanism for correcting this loophole in the law. I am very grateful to my hon. Friend Peter Gibson for his support, and I was shocked to hear the horrendous story in his own constituency. I am also a patron of the Conservative Animal Welfare Foundation. I am incredibly proud of this Government’s record on animal welfare. I have been shocked to hear what Labour Members have been saying this afternoon. On farms, we have introduced new regulations for minimum standards for meat chickens. We have made CCTV mandatory in slaughterhouses in England. For pets, microchipping became mandatory for dogs in 2015. We have protected service animals via Finn’s law. We have banned the commercial third-party sales of puppies and kittens through Lucy’s law. In 2019, our Wild Animals in Circuses Act became law, and we have led work to implement humane trapping standards. We have also introduced the Animal Welfare (Sentencing) Act 2021, extending animal cruelty sentences from six months to five years’ imprisonment, thanks to all the hard work of my hon. Friend Chris Loder, who cannot speak in this debate. We also published an ambitious and comprehensive action plan for animal welfare in May 2021, which relates not just to farm animals, but to wild animals, pets and sporting animals. It has both domestic and international ambition. Rather than backing those improvements, Labour Members are playing political games. Yet when we look at the devolved Welsh Administration, we can see that their record on animal welfare is shambolic. Let me give just one example. This year, we legislated to make cat microchipping compulsory to help reunite more lost cats with their owners. We are the only nation in the UK to have done so. The Labour-led Welsh Government have not announced any plans to follow our lead. In conclusion, I shall be standing with this Government, and I look forward to helping them maintain their strong record on animal welfare. They have my full support and the support of all my constituents in Southend and Leigh-on-Sea. "
503,Ben Lake,Labour,"Shadow PC Spokesperson (Treasury), Shadow PC Spokesperson (Environment, Food and Rural Affairs), Shadow PC Spokesperson (Education), Shadow PC Spokesperson (Digital, Culture, Media & Sport), Shadow PC Spokesperson (Health and Social Care), Shadow PC Spokesperson (Housing, Communities & Local Government), Shadow PC Spokesperson (The Constitution and Welsh Affairs)"," I wish to concentrate my remarks in the brief time that I have on the very worrying issue of dog attacks on livestock. In that regard, I commend Sir Bill Wiggin for his remarks. He was right to point out how serious this matter is for rural communities. I also applaud his commitment to introduce a Bill if he is successful in the private Member’s ballot. That is an important commitment to make and one that I have also made. I just hope he has greater luck in the ballot than I have had, because that is legislation that needs to be brought forward. I will not pretend that I am not disappointed that the kept animals Bill has fallen, because the measures included in it to address livestock worrying now face great uncertainty. It is a tragedy of the situation that we now  must depend on the luck of the draw of the private Member’s ballot to see whether those measures get on to the statute book. As anybody who represents a rural constituency will know, one of the most horrific experiences that anyone can witness in life is the aftermath of a dog attack on livestock—primarily sheep, but also other livestock. In the last few weeks alone, I have spoken to three different farming families in Ceredigion who have suffered attacks on their livestock by dogs. Together they have lost about 40 sheep completely, with a further dozen or so on life support, as it were. The photographs are gruesome. We cannot underestimate how traumatic it must be for the animals to suffer such gruesome attacks and to die in such a horrible way. We need to make sure that the measures that were included in the Bill to address the deficiencies of the current legislation, the Dogs (Protection of Livestock) Act of 1953, are brought forward in haste, because that Act is not fit for purpose as it stands. Police desperately require greater investigatory powers in order to bring more instances of dog attacks to prosecution and to serve as a deterrent to other dog owners, so that they make sure that they keep their animals under control. I am not going to pretend that the measures included in the Bill were perfect. I would have liked it to have gone further; I was on the Bill Committee and I argued that we should make it a necessity for dogs to be kept on leads when livestock are nearby. However, the Bill was better than nothing. That is why I hope, for the sake of those farming families and the sheep and other livestock in my constituency, that the relevant measures will be brought forward in haste. Before I sit down, I plead with the Minister, when she addresses the debate, to explain whether there will be another consultation on that measure. Do we need to go through that whole process again, or is it something that can quickly come onto the statute book by means of a private Member’s Bill? I know for certain that there will be MPs across the House from rural constituencies who will be keen to work together to get it into law. "
